"solver_configuration","training_optimizer","selector_solver","selector_preconditioner","adam_selection_mode","safe_training_constraint_mode","reference_composition","seed","safe_epsilon_multiplier","safe_cost_gamma","rho","log10_rho","reference_kl","fisher_cost","fisher_cost_milli","target_accuracy","reference_drift_pp"
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,2,1,0.0103491722602241,-1.98509438423534,9.02556397970772,0.000601130654104054,0.601130654104054,0.41796875,1.29954473461285
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,2,1,0.00914562665164837,-2.03878653162781,9.68309960147362,0.000548278447240591,0.548278447240591,0.41796875,-9.19031091457562
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,0.5,0.01,9.84703414810379e-06,-5.00669455600687,9.49441851373899,0.000854534970130771,0.854534970130771,0.3984375,23.4834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,0.5,0.01,4.73448968978719e-06,-5.32472682486621,9.22635421320461,0.000864740228280425,0.864740228280425,0.40234375,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,0.5,0.01,5.71601665728023e-06,-5.24290651428374,9.75202355936944,0.000791904691141099,0.791904691141099,0.44921875,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,0.5,0.1,6.56148301868465e-05,-4.18299799080114,9.2394949038387,0.000843972899019718,0.843972899019718,0.4453125,17.2334470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,0.5,0.1,4.10326693751788e-05,-4.3868702291408,9.3524418355345,0.000862992252223194,0.862992252223194,0.43359375,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,0.5,0.1,5.71601665728023e-05,-4.24290651428374,9.16653783549501,0.000767391233239323,0.767391233239323,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,0.5,1,0.000672672752241585,-3.17219616380046,9.20479558317592,0.000820571556687355,0.820571556687355,0.46484375,20.2842609359419
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,0.5,1,0.000410326693751788,-3.3868702291408,9.44833487604976,0.00083466328214854,0.83466328214854,0.44921875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,0.5,1,0.000571601665728023,-3.24290651428374,9.27052424737038,0.000796396110672504,0.796396110672504,0.4765625,2.62787090360619
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,1,0.01,2.62459320747386e-05,-4.58093799947317,9.58707246360647,0.000819807813968509,0.819807813968509,0.41015625,17.4325709067493
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,1,0.01,1.64130677500715e-05,-4.78481023781284,9.44142442619469,0.000812262413091958,0.812262413091958,0.39453125,2.27993689147559
